ID,Name of the organisation,DESCRIPTION,KEYWORDS,ADDRESS,EIRCODE,ONLINE ONLY SERVICE,WEBSITE,EMAIL,TELEPHONE,CATEGORIES,SUPPORT,latitude,longitude,DropIn_Info,,,,,,,,,,,,
270,Clare - Clare Immigrant Support Centre,"Clare Immigrant Support Centre  aims to ensure access  state and community services and the upholding of all the rights and entitlements of all in the immigrant community. Clare Immigrant Support Centre also aims to support better outcomes for people in their engagement with and access to state agencies and authorities, ","Outreach, Drop In, Citizenship Passports, Support ",Unit 6  Clonroad Business Park Clonroad Ennis Co Clare V95 CV06,V95 CV06,No,www.clareimmigrantsupportcentre.ie ,ciscennis@gmail.com,0852671278   or  0656822026,"Health Services, Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Multiple Services,52.844,-8.974,"Tuesday, Wednesday: 10am to 1pm ",,,,,,,,,,,,
280,Clare - Clare Local Authority Integration Team ,"(LAITs) promote integration from day one by helping international protection applicants, refugees, and beneficiaries of temporary protection access essential services and supports. ","Integration, Access, Welcoming Supportive, Help, Empowerment, Community, Informative ",Clare County Council HQ New Road Ennis Co Clare ,V95 DXP2,No,https://www.clarecoco.ie/services/integration/integration-supports/,integration@clarecoco.ie,0873936019,Information & Advice,Multiple Services,52.85,-8.976,N/A,,,,,,,,,,,,
20,Clare - Clare Volunteer Centre,"We provide support to people who are looking to volunteer and also provide a range of services to volunteer involving organisations including training, garda vetting, advocacy and recognition.","Finding a volunteer role, getting involved with your new community, sharing your skills, helping with improving your English through volunteering","Clare Volunteer Centre, Government Buildings, Kilrush Road, Ennis, Co. Clare",V95F782,No,www.volunteerclare.ie,info@volunteerclare.ie,065 68 45517,Information & Advice;Volunteering Opportunities;,Volunteering Opportunities,52.838,-8.994,"Monday, Tuesday, Wednesday, Thursday, Friday: 9am - 4pm",,,,,,,,,,,,
180,Clare - Clare Youth Service,"Clare Youth Service is a leader in the field of Youth Services since 1969. CYS believe all young people are equal and citizens in their own right. Core values of Trust, Listening, Respect, Voluntary Participation and Representation permeate our work with active youth participation a cornerstone of our practice. ","Youth Work, Community Training Centre, Youth Groups, Youth Projects, Youth Information, Youth Diversion, Safe Spaces, Youth Clubs","Clare Youth Service, Carmody Street, Ennis, County Clare, V95 EK75",V95 EK75,No,under construction. Social media - Facebook and Instagram @clareyouthservice ,info@clareyouthservice.org,065 6845350,Employment & Training;Education;Wellbeing & Mental Health;Youth Services;Culture & the Arts;Information & Advice;,Multiple services,52.842,-8.985,"Wednesday, Thursday, Friday, Saturday: the time varies at the different locations and  depending on the time of year. Enquiries to Carmody Street Youth Centre can be made Monday to Friday, 9am-5pm, for all projects and directly to the Community Training Centre. Youth Work Drop In's, Cafes, etc. operate outside these times and youth worker contacts are available.",,,,,,,,,,,,
180,Clare - Clare Youth Service,"Clare Youth Service is a leader in the field of Youth Services since 1969. CYS believe all young people are equal and citizens in their own right. Core values of Trust, Listening, Respect, Voluntary Participation and Representation permeate our work with active youth participation a cornerstone of our practice. ","Youth Work, Community Training Centre, Youth Groups, Youth Projects, Youth Information, Youth Diversion, Safe Spaces, Youth Clubs","Killaloe Youth Project, V94 W7X6",V94 W7X6,No,under construction. Social media - Facebook and Instagram @clareyouthservice ,info@clareyouthservice.org,065 6845350,Employment & Training;Education;Wellbeing & Mental Health;Youth Services;Culture & the Arts;Information & Advice;,Multiple services,52.80739008,-8.443202345,"Wednesday, Thursday, Friday, Saturday: the time varies at the different locations and depending on the time of year. Enquiries to Carmody Street Youth Centre can be made Monday to Friday, 9am-5pm, for all projects and directly to the Community Training Centre. Youth Work Drop In's, Cafes, etc. operate outside these times and youth worker contacts are available.",,,,,,,,,,,,
180,Clare - Clare Youth Service,"Clare Youth Service is a leader in the field of Youth Services since 1969. CYS believe all young people are equal and citizens in their own right. Core values of Trust, Listening, Respect, Voluntary Participation and Representation permeate our work with active youth participation a cornerstone of our practice. ","Youth Work, Community Training Centre, Youth Groups, Youth Projects, Youth Information, Youth Diversion, Safe Spaces, Youth Clubs",The Junction Youth & Community Building (UBU & YI),V95 XA43,No,under construction. Social media - Facebook and Instagram @clareyouthservice ,info@clareyouthservice.org,065 6845350,Employment & Training;Education;Wellbeing & Mental Health;Youth Services;Culture & the Arts;Information & Advice;,Multiple services,52.84694553,-8.990758238,"Wednesday, Thursday, Friday, Saturday: the time varies at the different locations and  depending on the time of year. Enquiries to Carmody Street Youth Centre can be made Monday to Friday, 9am-5pm, for all projects and directly to the Community Training Centre. Youth Work Drop In's, Cafes, etc. operate outside these times and youth worker contacts are available.",,,,,,,,,,,,
180,Clare - Clare Youth Service,"Clare Youth Service is a leader in the field of Youth Services since 1969. CYS believe all young people are equal and citizens in their own right. Core values of Trust, Listening, Respect, Voluntary Participation and Representation permeate our work with active youth participation a cornerstone of our practice. ","Youth Work, Community Training Centre, Youth Groups, Youth Projects, Youth Information, Youth Diversion, Safe Spaces, Youth Clubs",Tulla Youth Project V95 WN93,V95 WN93,No,under construction. Social media - Facebook and Instagram @clareyouthservice ,info@clareyouthservice.org,065 6845350,Employment & Training;Education;Wellbeing & Mental Health;Youth Services;Culture & the Arts;Information & Advice;,Multiple services,52.8685735,-8.752856743,"Wednesday, Thursday, Friday, Saturday: the time varies at the different locations and  depending on the time of year. Enquiries to Carmody Street Youth Centre can be made Monday to Friday, 9am-5pm, for all projects and directly to the Community Training Centre. Youth Work Drop In's, Cafes, etc. operate outside these times and youth worker contacts are available.",,,,,,,,,,,,
180,Clare - Clare Youth Service,"Clare Youth Service is a leader in the field of Youth Services since 1969. CYS believe all young people are equal and citizens in their own right. Core values of Trust, Listening, Respect, Voluntary Participation and Representation permeate our work with active youth participation a cornerstone of our practice. ","Youth Work, Community Training Centre, Youth Groups, Youth Projects, Youth Information, Youth Diversion, Safe Spaces, Youth Clubs",CYS Integration Project Kilkee V15 D276,V15 D276,No,under construction. Social media - Facebook and Instagram @clareyouthservice ,info@clareyouthservice.org,065 6845350,Employment & Training;Education;Wellbeing & Mental Health;Youth Services;Culture & the Arts;Information & Advice;,Multiple services,52.67849277,-9.643595451,"Wednesday, Thursday, Friday, Saturday: the time varies at the different locations and  depending on the time of year. Enquiries to Carmody Street Youth Centre can be made Monday to Friday, 9am-5pm, for all projects and directly to the Community Training Centre. Youth Work Drop In's, Cafes, etc. operate outside these times and youth worker contacts are available.",,,,,,,,,,,,
180,Clare - Clare Youth Service,"Clare Youth Service is a leader in the field of Youth Services since 1969. CYS believe all young people are equal and citizens in their own right. Core values of Trust, Listening, Respect, Voluntary Participation and Representation permeate our work with active youth participation a cornerstone of our practice. ","Youth Work, Community Training Centre, Youth Groups, Youth Projects, Youth Information, Youth Diversion, Safe Spaces, Youth Clubs",Sixmilebridge Youth Project V95 X886,V95 X886,No,under construction. Social media - Facebook and Instagram @clareyouthservice ,info@clareyouthservice.org,065 6845350,Employment & Training;Education;Wellbeing & Mental Health;Youth Services;Culture & the Arts;Information & Advice;,Multiple services,52.74059307,-8.778802241,"Wednesday, Thursday, Friday, Saturday: the time varies at the different locations and  depending on the time of year. Enquiries to Carmody Street Youth Centre can be made Monday to Friday, 9am-5pm, for all projects and directly to the Community Training Centre. Youth Work Drop In's, Cafes, etc. operate outside these times and youth worker contacts are available.",,,,,,,,,,,,
180,Clare - Clare Youth Service,"Clare Youth Service is a leader in the field of Youth Services since 1969. CYS believe all young people are equal and citizens in their own right. Core values of Trust, Listening, Respect, Voluntary Participation and Representation permeate our work with active youth participation a cornerstone of our practice. ","Youth Work, Community Training Centre, Youth Groups, Youth Projects, Youth Information, Youth Diversion, Safe Spaces, Youth Clubs",CYS Integration Project Lisdoonvarna V95 WF68,V95 WF68,No,under construction. Social media - Facebook and Instagram @clareyouthservice ,info@clareyouthservice.org,065 6845350,Employment & Training;Education;Wellbeing & Mental Health;Youth Services;Culture & the Arts;Information & Advice;,Multiple services,53.02695678,-9.285774251,"Wednesday, Thursday, Friday, Saturday: the time varies at the different locations and  depending on the time of year. Enquiries to Carmody Street Youth Centre can be made Monday to Friday, 9am-5pm, for all projects and directly to the Community Training Centre. Youth Work Drop In's, Cafes, etc. operate outside these times and youth worker contacts are available.",,,,,,,,,,,,
180,Clare - Clare Youth Service,"Clare Youth Service is a leader in the field of Youth Services since 1969. CYS believe all young people are equal and citizens in their own right. Core values of Trust, Listening, Respect, Voluntary Participation and Representation permeate our work with active youth participation a cornerstone of our practice. ","Youth Work, Community Training Centre, Youth Groups, Youth Projects, Youth Information, Youth Diversion, Safe Spaces, Youth Clubs",Newmarket-on-Fergus Youth Project V95 RH93,V95 RH93,No,under construction. Social media - Facebook and Instagram @clareyouthservice ,info@clareyouthservice.org,065 6845350,Employment & Training;Education;Wellbeing & Mental Health;Youth Services;Culture & the Arts;Information & Advice;,Multiple services,52.76151911,-8.88915468,"Wednesday, Thursday, Friday, Saturday: the time varies at the different locations and  depending on the time of year. Enquiries to Carmody Street Youth Centre can be made Monday to Friday, 9am-5pm, for all projects and directly to the Community Training Centre. Youth Work Drop In's, Cafes, etc. operate outside these times and youth worker contacts are available.",,,,,,,,,,,,
180,Clare - Clare Youth Service,"Clare Youth Service is a leader in the field of Youth Services since 1969. CYS believe all young people are equal and citizens in their own right. Core values of Trust, Listening, Respect, Voluntary Participation and Representation permeate our work with active youth participation a cornerstone of our practice. ","Youth Work, Community Training Centre, Youth Groups, Youth Projects, Youth Information, Youth Diversion, Safe Spaces, Youth Clubs",Shannon Youth Project V14 XV97,V14 XV97,No,under construction. Social media - Facebook and Instagram @clareyouthservice ,info@clareyouthservice.org,065 6845350,Employment & Training;Education;Wellbeing & Mental Health;Youth Services;Culture & the Arts;Information & Advice;,Multiple services,52.71001451,-8.860916534,"Wednesday, Thursday, Friday, Saturday: the time varies at the different locations and  depending on the time of year. Enquiries to Carmody Street Youth Centre can be made Monday to Friday, 9am-5pm, for all projects and directly to the Community Training Centre. Youth Work Drop In's, Cafes, etc. operate outside these times and youth worker contacts are available.",,,,,,,,,,,,
180,Clare - Clare Youth Service,"Clare Youth Service is a leader in the field of Youth Services since 1969. CYS believe all young people are equal and citizens in their own right. Core values of Trust, Listening, Respect, Voluntary Participation and Representation permeate our work with active youth participation a cornerstone of our practice. ","Youth Work, Community Training Centre, Youth Groups, Youth Projects, Youth Information, Youth Diversion, Safe Spaces, Youth Clubs",B3 Warehouse -Creative space Shannon V14 NP60,V14 NP60,No,under construction. Social media - Facebook and Instagram @clareyouthservice ,info@clareyouthservice.org,065 6845350,Employment & Training;Education;Wellbeing & Mental Health;Youth Services;Culture & the Arts;Information & Advice;,Multiple services,52.71804569,-8.869614496,"Wednesday, Thursday, Friday, Saturday: the time varies at the different locations and  depending on the time of year. Enquiries to Carmody Street Youth Centre can be made Monday to Friday, 9am-5pm, for all projects and directly to the Community Training Centre. Youth Work Drop In's, Cafes, etc. operate outside these times and youth worker contacts are available.",,,,,,,,,,,,
154,Clare - Fáilte Isteach,"Fáilte Isteach is a conversational English language project involving predominantly older volunteer tutors welcoming migrants and refugees through free, accessible classes. It's a community-based project offering a welcoming space for all. We currently have 200 active locations across 26 counties in Ireland.","Conversational English Classes, Fáilte Isteach, Improve English Conversational Skills, Free English Classes",Office address is Summerhill in Meath but we have group locations across Ireland. All classes are listed here: https://www.thirdageireland.ie/failte-isteach/locations ,A83 PW94,No,https://www.thirdageireland.ie/failte-isteach,failteisteach@thirdageireland.ie,(046) 9557766,Language Support,Language Support,53.483,-6.74,"Available: All classes are available for drop in, although learners are encourage to attend regularly when possible., No time given",,,,,,,,,,,,
182,Clare - Killaloe/Ballina Community & Family Resource Centre,"The Killaloe/Ballina Community & Family Resource Centre aspires to be part of an inclusive and dynamic community where people feel comfortable in seeking and providing help and support to one another and whose members uphold equality for all groups, families and individuals so that opportunities for employment, security, personal growth and good health are open to all.",None,"The Green, Killaloe, Co. Clare",V94 W7X6,No,www.kbfrc.ie,info@kbfrc.ie,061-374741,Information & Advice;Employment & Training;Education;Language Support;Housing support;Wellbeing & Mental Health;Community & Family;Youth Services;Public Awareness & Activism;Culture & the Arts;Environment;,Multiple services,52.808,-8.444,"Monday, Tuesday, Wednesday, Thursday, Friday: 9.30am-1pm and 1.30-4pm",,,,,,,,,,,,
281,Clare - LAIT Team - Clare County Council,"The goal of LAITs is to help IP applicants and refugees become independent, settle into their new communities, and participate in Irish life. They do this by connecting people to important services that can help them integrate into the community. ","Advise where to get support for health, education or general needs","Clare County Council Offices, New Road, Ennis, Co Clare",NONE,No,https://clarecoco.ie/services/integration/integration-supports/,integration@clarecoco.ie,None,Information & Advice,Multiple Services,52.85,-8.976,N/A,,,,,,,,,,,,
178,Clare - Legal Aid Board,"The Legal Aid Board is an independent, publicly funded organisation providing civil legal aid and advice, family mediation services, assisted decision-making services, International protection services, and much more. ","Legal Aid, Legal advice, family mediation, international protection, rights of cohabitants, guardianship, assisted decision making, traveller support, abhaile scheme","Ennis Law Centre, Station Road, Clonroad Beg, Ennis, Co Clare",V95 FN79,No,www.legalaidboard.ie,lawcentreennis@legalaidboard.ie,Phone: (066) 947 1000  LoCall: 0818 615 200; Clare (065) 682 1929,Information & Advice;Housing support;Community & Family;Legal Advice;International protection;,Multiple services,52.84106091,-8.978186916,N/A,,,,,,,,,,,,
282,Clare - Limerick and Clare Education and Training Board College of Further Education and Training,Limerick and Clare Education and Training Board College of Further Education and Training offers hundreds of full-time and part-time Further Education and Training learning pathways at our multi-campus College of Further Education and Training across Limerick and Clare and over 300 other locations in the community.,"English classes, finding work, qualification recognition, learning supports, employment supports, interview skills, CV preparation","College of Further Education & Training, Ennnis Campus, Clonroad Business Park, Ennis, County Clare, V95 KT95",V95 KT95,No,https://collegeoffet.ie/,coursechoices@lcetb.ie,1800 707077,"Education, Language Support",Education,52.844,-8.974,coursechoices@lcetb.ie ,,,,,,,,,,,,
17,Clare - Local Authority Integration Team ,"The Local Authority Integration Teams (LAITs) have been set up in all local authorities. Their purpose is to help coordinate the different kinds of support available for people who are applying for international protection, refugees, and others in similar situations.  The goal of LAITs is to help IP applicants and refugees become independent, settle into their new communities, and participate in Irish life. They do this by connecting people to important services that can help them integrate into the community.","Information and Advice, Community, Housing support, Employment and Training ","Áras Contae an Chláir,  New Road Ennis Co Clare ",V95 DXP2,No,https://clarecoco.ie/services/integration/,integration@clarecoco.ie,0873936019,Information & Advice;Community & Family;,Multiple services,52.852,-9.039,N/A,,,,,,,,,,,,
283,Clare - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/ . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect.","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Ennis,None,No,https://sanctuaryrunners.ie/,info@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,52.847,-8.989,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",,,,,,,,,,,,
284,Clare - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/ . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect.","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Ennis,None,No,https://sanctuaryrunners.ie/,info@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,52.847,-8.989,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",,,,,,,,,,,,
181,Cork - A.S.S.C. Accompaniment Support Services for Children,"A.S.S.C. support young people who are victims and witnesses to crime. A.S.S.C. provides  Forensic Accompaniment, Court Accompaniment and phone Support for the families of those affected. A.S.S.C. extends its onsite support to the families and carers of the young person called to give evidence in Criminal Court.","Child, Young Person, Minor, Victim of Crime, Witness to Crime, Witness to Domestic Abuse, Going to court as a witness, District Court, Circuit Court, Circuit Criminal Court. Sexual Assault Treatment Unit, Child and Adolescent Sexual Assault Treatment Service.  ","Dublin, Galway & Cork (Nationwide)",None - not a public office,No,www.assc.ie,support@assc.ie,0832030209 or 0879937392,"Information & Advice;Wellbeing & Mental Health;Onsite Court Accompaniments Nationwide for young witnesses/victims of crime and their families, Onsite Forensic Accompaniment in Sexual Assault Treatment Units in Cork, Dublin and Galway and Phone Support for Families;",Multiple services,51.89762371,-8.470042915,N/A,,,,,,,,,,,,
235,Cork - Ballincollig Family Resource Centre,"Ballincollig Family Resource Centre provides a welcoming and inclusive environment for all of the community in Ballincollig and surrounding areas. The Early Years Service including Preschool, Parent and Toddler The provision of a Family Support/IPAS and Counselling service. The Community Health and Referral Project (Linkwork service). Support groups, education and training opportunities. We also provide regular information talks/events and social meetings.","Support. Family, community, International Protection, information, ","Village Centre, Station Road, Ballincollig, Cork",P31AE86,No,https://ballincolligfrc.org,info@ballincolligfrc.org,0214876295,Information & Advice;Education;Wellbeing & Mental Health;Community & Family;,Community & Family,51.88775978,-8.592736432,N/A,,,,,,,,,,,,
238,Cork - Beara West Resource Centre,"We support individuals in the community with form filling, linking in with other services and Family Support.","Help with forms, accessing services locally and nationally","Main Street, Castletownbere, Cork. ",P75WN88,No,https://www.bearawest.ie/,ckelleher@bearawest.ie,,Information & Advice;Wellbeing & Mental Health;Community & Family;,Multiple services,51.65134023,-9.911140703,"Monday, Tuesday, Wednesday, Thursday, Friday: 9am-5pm",,,,,,,,,,,,
285,Cork - Cork City Local Authority Integration Team (LAIT),"Local Authority Integration Teams (LAITs) promote integration from day one by helping international protection applicants, refugees, and beneficiaries of temporary protection access essential services and supports.","Integration, Access, Welcoming, Supportive, Help, Inclusive, Empowering, Practical, Caring, Community, Guidance, Informative, Holistic, Compassionate",Cork City,None,No,https://www.localgov.ie/national-programmes/local-authority-integration-teams,integration@corkcity.ie,0861757448/0862007798,Information & Advice,Multiple Services,51.899,-8.476,N/A,,,,,,,,,,,,
286,Cork - Cork City Partnership,"Cork City Partnership is delivering the Social Inclusion and Community Activation Programme (SICAP) in Cork city providing targeted interventions to support integration of Ukrainian and New Communities. Job Supports, Education and Training, Personal Development Supports, Family Activities, Integration Events.","Job Supports, Education and Training, Personal Development Supports, Family Activities, Integration Events ","Heron House, Blackpool Retail Park, Blackpool, Cork ",T23 R50R,No,www.corkcitypartnership.ie,info@partnershipcork.ie,021 4302310,"Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health, Community & Family",Multiple Services,51.916,-8.472,N/A,,,,,,,,,,,,
188,Cork - Cork College of FET Ballincollig Centre,We provide a range of Adult Education courses for the community.,"ESOL, English classes, literacy, education, help with forms","The Old Village Shopping Centre, (Above the Ballincollig Library) Station Road, Ballincollig, Cork",P31 YP25 (Library's Eircode),No,"We don't have one, only Instagram: @ccfetballincollig and Facebook: @CCFETBallincollig",deirdre.treacy@corketb.ie,0868805708,Education;Language Support;,Education,51.889,-8.592,"Monday, Tuesday, Wednesday, Thursday: 9am-4pm; Friday: 9am-1pm",,,,,,,,,,,,
190,Cork - Cork College of FET Knocknaheeny Centre,"We provide part-time, daytime education courses for adults over the age of 18 years. Our courses are fully funded to eligible adults. We have a wide range of courses on offer like English, Sewing, Upholstery, Art, Healthcare, Beauty, Hairdressing, IT and Personal Development. We have accredited and non-accredited options available.","English classes, Education, Courses, Training, Employment support, Guidance service","CCFET Knocknaheeny Centre, Harbour View Road, Knocknaheeny, Cork",T23PW60,No,www.Corketb.ie,kirsten.mocke@corketb.ie,0861074204,Education;Employment & Training;Language Support;,Education,51.905,-8.504,"Monday, Tuesday, Wednesday, Thursday, Friday: 9am - 3pm",,,,,,,,,,,,
198,Cork - Cork College of FET Write Together Churchfield,"Write Together is an adult basic education centre. We offer free classes to adults.  Subjects on offer include English for speakers of other languages, Adult Literacy, Computer Skills, using a smart phone/tablet, Dyslexia support skills and a variety of short courses","English classes, Adult Literacy, Help with Forms, Dyslexia","Education and Rights Resource Centre, 5 Churchfield Avenue, Churchfield, Cork.",T23FP49,No,www.fetchcourses.ie,writetogethercork@gmail.com,021 4307969,Information & Advice;Education;Language Support;,Education,51.909,-8.496,N/A,,,,,,,,,,,,
191,Cork - Cork College of Further Education and Training - Ballyphehane Centre,Offering a variety of accredited and unaccredited courses,None,"Lower Friars Walk, Ballyphehane",T12TH68,No,N/A,Brid.Ryder@Corketb.ie,None,Education;,Education,51.884,-8.478,"Monday, Tuesday, Wednesday, Thursday, Friday: 9am-4pm",,,,,,,,,,,,
189,"Cork - Cork College of Further Education and Training (CCFET), formerly Cork ETB","We offer further education from QQI Level 1 to QQI Level 4 across a range of subjects including ESOL, Cookery, Barista, History, Communications, Personal effectiveness, ART",Returning to education; English classes; Personal development,"CCFET, NCE Training and Education Campus, Redemption Road, Cork T23YW62 ",T23YW62 ,No,www.corketb.ie,brenda.oconnell@corketb.ie,086 0320557,Education;Language Support;,Education,51.913,-8.478,"Monday, Tuesday, Wednesday, Thursday, Friday: 8.30am-4.30pm",,,,,,,,,,,,
287,Cork - Cork County Council,"Local authority Integration Team, with Cork County Council. We provide ongoing integration supports, information, advice and guidance to individuals. Co-ordination- Linking individuals with mainstream and NGO services. Identify gaps in supports or services.","Local authority, Integration , Information, signposting, guidance and advice.","Cork County Council, County Hall, Cork City",T12 R2NC,No,corkcoco.ie,integration@corkcoco.ie,0214285800,Information & Advice,Multiple Services,51.893,-8.508,N/A,,,,,,,,,,,,
288,Cork - Cork Migrant Centre (CMC),"CMC is a psychosocial wellbeing & integration hub. It creates a safe space for migrant families, including, young people to build & enhance their capacities (physical, social, emotional, cognitive, cultural, knowledge and skills) by utilizing a strength-based approach which addresses their vulnerabilities & nurtures their resilience processes.","help with forms, English classes, visa information, activities for children and teenagers, anti-racism","Cork Migrant Centre, Nano Nagle Place, Evergreen Street, Cork, T12 XPX8.",T12 XPX8,No,https://corkmigrantcentre.ie/,cmc@nanonagleplace.ie,083 2081678,"Information & Advice, Language Support, Wellbeing & Mental Health, Community & Family, Youth Services, Public Awareness & Activsm",Multiple Services,51.893,-8.473,Yes. ,,,,,,,,,,,,
289,Cork - Cork Volunteer Centre,"Cork Volunteer Centre supports anyone who would like to get involved as a volunteer in their communities. You can meet with our team, or join one of our information sessions to learn more. ","Volunteering, Volunteer, Community, Support, Integration, Festivals, Events","13 North Main Street, Cork City",T12 Y6W0,No,www.volunteercork.ie,info@volunteercork.ie,021 425 1572,"Information & Advice, Community & Family",Information & Advice,51.901,-8.479,"Monday, Tuesday, Wednesday, Thursda, Friday: 9am-1pm, 2-4pm",,,,,,,,,,,,
166,Cork - Crawford Art Gallery,"Crawford Art Gallery’s Learn and Explore programmes include workshops, and long-term community and health-based partnership projects. We provide a space to feed the imagination and where creativity is valued. We welcome the opportunity to collaborate with people with diverse voices, abilities, and experiences.","Visual arts, workshops","Emmet place, Cork city",T12TNE6,No,www.crawfordartgallery.ie,Learnandexplore@crawfordartgallery.ie,N/A,Wellbeing & Mental Health;Community & Family;Culture & the Arts;Youth Services;,Culture & the Arts,51.901,-8.473,N/A,,,,,,,,,,,,
44,"Cork - EPIC, Empowering People in Care","EPIC works with children and young people in the care of the state, including unaccompanied minors. ","Advice and support, care placement, aftercare, information about my rights, Tusla, being in care.","EPIC Cork, Unit G1 & 2 Northside for Business Campus, Ballyvolane, Co. Cork T23 E6TT",T23 E6TT,No,www.epiconline.ie,info@epiconline.ie,01 872 7661 ,Information & Advice;Youth Services;Public Awareness & Activism;,Information & Advice,51.91629349,-8.462516414,N/A,,,,,,,,,,,,
154,Cork - Fáilte Isteach,"Fáilte Isteach is a conversational English language project involving predominantly older volunteer tutors welcoming migrants and refugees through free, accessible classes. It's a community-based project offering a welcoming space for all. We currently have 200 active locations across 26 counties in Ireland.","Conversational English Classes, Fáilte Isteach, Improve English Conversational Skills, Free English Classes",Office address is Summerhill in Meath but we have group locations across Ireland. All classes are listed here: https://www.thirdageireland.ie/failte-isteach/locations ,A83 PW94,No,https://www.thirdageireland.ie/failte-isteach,failteisteach@thirdageireland.ie,(046) 9557766,Language Support,Language Support,53.483,-6.74,"Available: All classes are available for drop in, although learners are encourage to attend regularly when possible., No time given",,,,,,,,,,,,
80,Cork - International Organization for Migration (IOM) - IBG Services,"The International Organization for Migration (IOM) is the UN agency that supports humane and orderly migration. It assists governments and migrants through services including resettlement, return assistance, emergency response, and integration support, while promoting international cooperation and protecting the rights and dignity of people on the move.","Support to Beneficiaries of Temporary Protection (ie. from Ukraine): Temporary Protection Applications, Withdrawals, Information provision","INTREO Hanover Street, Cork City, Ireland T12 PX62", T12 PX62,No,https://ireland.iom.int/,iomdublin@iom.int,1800 406 406,Information & Advice;,Information & Advice,51.8988005,-8.474483933,"Monday, Tuesday, Wednesday, Thursday, Friday: 10am-3pm.  Whenever possible, it's advisable to call ahead and schedule an appointment.",,,,,,,,,,,,
105,Cork - IRD Duhallow Clg,"IRD Duhallow is a local development company that offers a suite of supports including social inclusion supports, employment supports, volunteering opportunities and training/workshops.",employment supports; volunteering; wellbeing supports; integration,IRD Duhallow The James O'Keeffe Institute Newmarket Cork ,P51 C5YF,No,www.irdduhallow.com,duhallow@irdduhallow.com,029-60633,Information & Advice;Employment & Training;Education;Language Support;Housing support;Wellbeing & Mental Health;Community & Family;Culture & the Arts;,Multiple services,52.211,-8.994,Monday: 9-11am - every second week in Kanturk Town. ,,,,,,,,,,,,
290,Cork - KASI - Killarney Immigrant Support Centre,"KASI IS AN NGO WORKING IN MILLSTREET, CO. CORK, PROVIDING SUPPORT SERVICES TO ASYLUM SEEKERS AND REFUGEES IN DRISHANE DIRECT PROVISION CENTRE",None,"Millstreet, Co. Cork",P51 X768,No,kasi.ie,info@kasi2000.com,06406620705,"Information & Advice, Community & Family, Youth Services",Information & Advice,52.078,-9.048,Tuesdays and Wednesdays,,,,,,,,,,,,
237,Cork - Le Cheile FRC,"Family Resource Centre providing community supports including migrant support, parenting courses, counselling, literacy support, community health iniatives","Navigating new systems e.g. education, welfare, medical - making links in the community - help with forms - ","Mallow Community Campus, Fair St, Mallow, Co Cork ",P51F344,No,www.lecheilefrc.ie ,supportworker@lecheilefrc.ie ,0873627074,Information & Advice;Education;Wellbeing & Mental Health;Community & Family;Culture & the Arts;,Multiple services,52.14099564,-8.641265147,N/A,,,,,,,,,,,,
178,Cork - Legal Aid Board,"The Legal Aid Board is an independent, publicly funded organisation providing civil legal aid and advice, family mediation services, assisted decision-making services, International protection services, and much more. ","Legal Aid, Legal advice, family mediation, international protection, rights of cohabitants, guardianship, assisted decision making, traveller support, abhaile scheme","Law Centre Cork North, North Quay House, Popes Quay, Cork",T23 HV26,No,www.legalaidboard.ie,lawcentrecorknorth@legalaidboard.ie,Phone: (066) 947 1000  LoCall: 0818 615 200: Cork North 021-4529800,Information & Advice;Housing support;Community & Family;Legal Advice;International protection;,Multiple services,51.90173355,-8.475907499,N/A,,,,,,,,,,,,
178,Cork - Legal Aid Board,"The Legal Aid Board is an independent, publicly funded organisation providing civil legal aid and advice, family mediation services, assisted decision-making services, International protection services, and much more. ","Legal Aid, Legal advice, family mediation, international protection, rights of cohabitants, guardianship, assisted decision making, traveller support, abhaile scheme","Law Centre Cork South, 1B, 1st Floor, 6 Lapps Quay, Cork",T12 VY7W,No,www.legalaidboard.ie,corksouth@legalaidboard.ie,Phone: (066) 947 1000  LoCall: 0818 615 200; Cork South 021-4275998,Information & Advice;Housing support;Community & Family;Legal Advice;International protection;,Multiple services,51.89861451,-8.464744514,N/A,,,,,,,,,,,,
