ID,Name of the organisation,DESCRIPTION,KEYWORDS,ADDRESS,EIRCODE,ONLINE ONLY SERVICE,WEBSITE,EMAIL,TELEPHONE,CATEGORIES,SUPPORT,latitude,longitude,DropIn_Info,
74,Carlow County Council,"We provide advice, guidance and information on access to supports and services for new arrivals within County Carlow",None,"Athy Road, Carlow",R93 E7R7,No,Carlow.ie,integrationsupportunit@carlowcoco.ie,087 0323890,"Health Services, Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health, Community & Family, Youth Services",Multiple Services,52.841,-6.932,N/A,
75,The Liberties Community Project,"The Liberties Community Project deliver the following activities targeted primarily at the new Irish community with a particular focus on IPAS clients. Delivery of a curriculum of 34 weekly education classes and activities, operation of an open kitchen facility providing IPAS clients with access to cooking facilities, operation of an Employment Training Programme, delivery of out of term camps for young people and facilitation of advice clinics for all IPAS clients.","Finding work, English classes, help with forms","90 Meath Street, Dublin 8  ",D08TPH9,No,https://thelibertiescommunityproject.ie/,olenap@thelibertiescommunityproject.ie,0877117224,Information & Advice;Employment & Training;Education;Language Support;Wellbeing & Mental Health;Community & Family;Youth Services;Culture & the Arts;Environment;,Multiple services,53.342,-6.299,"Available: Monday;Tuesday;Thursday;Friday;Saturday;, 9 am to 5 pm",
76,Youth Work Ireland Galway,"Youth Work Ireland Galway is a regional organisation that provides services and supports to young people and their families. The range of supports include volunteer led youth clubs, staff led youth projects, free counselling for young people and specific supports to marginalised groups including refugees and migrants","youth groups, youth work, youth clubs, making friends, youth counselling,","Ballybane Community House, 197 Castlepark, Galway City",H91 A7X4,No,www.youthworkgalway.ie,info@youthworkgalway.ie,087 6487187,Information & Advice;Wellbeing & Mental Health;Community & Family;Youth Services;Culture & the Arts;Environment;,Youth Services,53.286,-9.023,N/A,
77,Mayo LAIT - Local Authority Integration Team ,"We provide support and Information to people who are newly arrived in Mayo, especially to those who are seeking or have been granted protection by the state. ","Help on getting services in Ireland, help with forms, providing information, finding work,  finding English classes, information on asylum system, finding out whats on in the local area, social supports",None,None,Yes,www.mayo.ie,Integration@mayococo.ie,None,"Information & Advice, Also social supports",Information & Advice,53.854,-9.299,N/A,
78,Ark Housing Association,"Ark Housing Association provides general needs homes and supported and sheltered accommodation at locations across Northern Ireland. We deliver a wide range of specialist homes and services to meet the needs of families, older persons, and single person households, including floating support for homeless families.","Housing, Homeless, Hostels, Support, At risk of homelessness, Family, Single adults, Sheltered housing, dementia care, temporary accommodation, residential care, older persons, North of Ireland, NI, Northern Ireland, Ireland","Unit 1, Hawthorn Office Park, 43 Stockmans Way, Belfast ",BT9 7ET,No,www.arkhousing.co.uk,info@arkhousing.co.uk,00 44 +28 9075 2310,Housing support;Community & Family;Information & Advice;,Housing support,54.570,-5.985,N/A,
79,Tullamore International Welcome Centre ,"A welcoming, open place where people of all nationalities can meet to make new friends, practice English and learn about local resources.","English classes, local information, integration support, friendship, community, Church of Sanctuary, parent support, housing advice","Tullamore Presbyterian Church, High Street, Tullamore, Offaly, R35XY92 ",R35XY92 ,No,www.praystation.ie,william@tullamorepresbyterian.org,0851476929,Information & Advice;Language Support;Wellbeing & Mental Health;Community & Family;Housing support;,Multiple services,53.272,-7.515,"Available: Thursday;, 2pm to 5pm",
80,International Organization for Migration (IOM),"The International Organization for Migration (IOM) is the UN agency that supports humane and orderly migration. It assists governments and migrants through services including resettlement, return assistance, emergency response, and integration support, while promoting international cooperation and protecting the rights and dignity of people on the move.","voluntary return, help to go home, return to my country, interpretation, cultural mediation, pledged accommodation; integration services",iomdublin@iom.int,D02R252,No,https://ireland.iom.int/,iomdublin@iom.int,1800 406 406,Information & Advice;,Information & Advice,53.337,-6.271,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 10:00 am - 3:00 pm.  Whenever possible, it's advisable to call ahead and schedule an appointment.",
81,Louth County Council LAIT,Local authority ,"Our role is to provide advice, guidance and information to support you to live independently.",County Hall  Millennium Centre  Dundalk  A91 KFW6,A91 KFW6,No,www.louthcoco.ie,integration@louthcoco.ie,042-9335457,Information & Advice,Information & Advice,54.005,-6.387,N/A,
82,Sanctuary Runners Donegal,"Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/,None. We have no main office and the question above isn't very relevant either!,No,www.sanctauryrunners.ie,info@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,53.633,-8.240,"Available: No days given, No time given",
85,Belfast Unemployed Resource Centre,"Welfare advice, Access NI, free ESOL classes, training and personal development","Welfare advice, English classes, ESOL, help with forms, Access NI, employment, benefits, training","4-6 Donegall Street Place, BT1 2FN, Belfast",BT1 2FN,No,https://www.burc.org/,info@burc.org,(028) 90961111,Information & Advice;Employment & Training;Language Support;Housing support;Community & Family;,Multiple services,54.602,-5.928,N/A,
87,Men's Development Network,"The National Male Advice Line (MAL) offers confidential phoneline advice and support to Men experiencing domestic violence and abuse during specific hours, seven days a week, 365 days a year. It is a FREEPHONE service. OPENING HOURS Monday & Wednesday: 10am-8pm Tuesday & Thursday: 12-8pm Friday 2-8pm Saturday, Sunday, Bank Hols: 2-6pm","Confidential support, domestic abuse, emotional support, family advice, parenting support, relationship support","EQUALITY HOUSE 49-50 O'Connell Street, Waterford, X91 E866, Ireland",X91 E866,No,https://mensnetwork.ie/mal/,mal@mensnetwork.ie,MALE Advice Line FREEPHONE 1800 816 588,Information & Advice;Wellbeing & Mental Health;Domestic Violence/Abuse Support;,Multiple services,52.262,-7.118,N/A,
88,"Integration Team, Galway County Council",we provide suppport and information to people in the international protection process and beneficaries of temporary protection which will help them connect and link in with services in their community ,"finding work/volunteering,  English classes, courses, information on the international protection process, community activities, integration ",None,None,No,www.galway.ie,integration@galwaycoco.ie,N/A,Information & Advice;Community & Family;Public Awareness & Activism;Culture & the Arts;,Multiple services,53.277,-9.049,N/A,
90,Ruhama,"Ruhama offers a confidential, FREE service to women who are or have been involved in commercial sexual exploitation or prostitution. You do not need a visa to access our services.","Trafficking, sex trade, counselling, therapy, advice","4 Castle St., Dublin 2, D02 EY44.", D02 EY44.,No,https://www.ruhama.ie/,admin@ruhama,Freephone 1800 020202,Information & Advice;Education;Wellbeing & Mental Health;Public Awareness & Activism;Help for women being commercially sexually exploited in prostitution;,Multiple services,53.343,-6.270,N/A,
91,South Leinster Citizens Information Service/Co. Wicklow ,"We  provide free, impartial and confidential information, advice and advocacy services to the public on social services, rights and entitlements. The range of areas we cover include  social welfare and other social issues such as employment, health services, housing, education, family matters, consumer rights and more","information, advice, advocacy, form filling, digital help service, virtual CIC, social welfare, employment, health issues, money & tax, moving country, disability, education & training, housing issues, family & relationships, legal advice, local information ","Bray Citizens Information Centre, 2 The Boulevard, Quinsboro Road, Bray, Co. Wicklow",A98 F6A2 ,No,www.citizensinformation.ie ,bray@citinfo.ie , 0818 07 6780,Information & Advice;,Legal Advice,53.206,-6.106,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, Bray:
Reception 
Monday to Thursday from 9.00am to 5.00pm. Friday from 9.30am to 4.30pm.
Drop -In
Monday 9.30am to 1.00pm and 2pm to 5pm. 
Tuesday  to Friday  from 9.30am to 1.00pm.
Appointments 
Monday to Friday 2.00pm to 4.30pm. 
Other 
Domiciliary Care Allowance Specialist Service. Phone Bray CIC for details

Arklow CIC:
Reception 
Monday to Thursday from 9:30am to 1.00pm and 2.00pm to 5.00pm. Thursday  9.30am to 1.00pm. Friday 9.30am to 12.30pm
Drop-in 
Monday, Tuesday, Wednesday and Thursday from 9.30am to 1.00pm. Friday 9.30am to 12.30pm
Appointments
Monday to Thursday 2.00pm to 4.30pm. 

or log into: www.citizensinformation.ie ",
92,Flossie and The Beach Cleaners,Marine Environment Charity,Beach cleaning ,A96 C822,A96 C822,No,flossieandthebeachcleaners.com,Info@floss.ie,N/A,Environment;Wellbeing & Mental Health;,Environment,53.287,-6.113,N/A,
93,Kilkenny County Council (Local Authority Integration Team)," The Local Authority Integration Teams (LAIT) help coordinate the different kinds of support available for people who are applying for international protection, refugees, and others in similar situations.  Supports offered include: being a direct contact for new arrivals, helping them with any problems they might have when dealing with public services; connecting new arrivals with services like legal help, childcare and healthcare;  connecting new arrivals with services that improve their ability to live independently, like job training, English classes, education, and apprenticeships;  guiding new arrivals through the process of applying for financial support, medical help, child benefits, and other services they might need;  Holding meetings in local areas and using community development principles to help those who attend; Supporting people if they face racism or other unfair treatment, helping them report it to the right authorities;  Helping vulnerable new arrivals get in touch with non-governmental organisations (NGOs) and other services if they need extra help ","Help with Forms
Information
Advice","Patricks Court, Kilkenny ",R95 N28F,No,https://kilkennycoco.ie/eng/services/local-authority-integration-team/,integration@kilkennycoco.ie,0567794419,Information & Advice;,Information & Advice,52.651,-7.252,"Available: Tuesday;Thursday;, 09.30-12.30 TUESDAY
2-4 THURSDAY",
95,Community Advice Causeway ,"Free, independent, impartial, confidential advice on a wide range of issues including Benefits, Debt, Immigration, Housing, Employment, Education, Legal and Courts, Consumer, Family and Relationships","Advice
Benefits
Immigration
Housing
Help with forms","2nd Floor, 1-5 Brook Street, Coleraine ",BT52 1QT,No,Advicecauseway,advice@advicecauseway.com,02870344817,Information & Advice;,Information & Advice,55.134,-6.672,N/A,
96,Muslim Association of Coleraine ,"Place of worship , social interaction, support and help ","Place of worship , pastoral support , funeral service fir Muslims ,  support and guidance ","No 1 Gateside Business Park , Gateside Road, Coleraine ",BT52 2RE,No,None,Causewaymuslims@outlook.com,Prefer not to ,Community & Family;,Multiple services,55.151,-6.658,"Available: Friday;, 12:30 -1:30 ",
97,Rock of Fire Centre,Migrant Support Services ,"Migrant support, settlement support, advice line, pastoral support, ","15C High Street, Antrim, ",BT41 4AX ,Yes,www.rockoffire.com,greetings@rockoffire.com,07886346851,Information & Advice;Community & Family;Culture & the Arts;Wellbeing & Mental Health;Employment & Training;,Multiple services,54.714,-6.219,N/A,
100,Limerick & Clare Education & Training Board,Adult Education Guidance Service providing guidance to adults residing in Co Limerick and Co Clare.,Education & Training information & career guidance.,"College of Further Education and Training, O'Connell Ave., Campus",V94 W651,No,https://collegeoffet.ie/,coursechoices@lcetb.ie,1800 70 70 77,Information & Advice;Employment & Training;Education;Language Support;,Education,52.657,-8.634,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 10 - 12noon and 2 - 4pm",
101,Feed my Lambs Children's Ministry,Spiritual support from a Biblical perspective.  Ministries and activities for all especially children and particularly from an African background.,"Bible teaching, child evangelism, family days, children's activities, spiritual support, ",Northern Ireland. In particular Co. Armagh,none,Yes,www.feedmylambs.org.uk,contact@feedmylambs.org.uk,N/A,Education;Community & Family;Youth Services;Biblical teaching and support;,Biblical support and activities for children,54.304,-7.244,N/A,
102,AkiDwA (A New Work of Migrant Women),"Established in 2001, Akina Dada wa Africa-AkiDwA (Swahili for sisterhood) is a national network of migrant women living in Ireland.  The organisation promotes the equality of migrant women in Irish society, free of gender and racial stereotyping and applies a holistic approach to integration, promoting a migrant and gender-specific approach to public services, as well as encouraging migrant women’s access to mainstream services and initiatives. AkiDwA employs several strategies to achieve its objectives, outreach, networking, research, policy work and capacity building. AkiDwA focuses on Key thematic Areas: DSGBV, Health & Integration","Advise of FGM victim support, Conversational English Classes, Women Health, DSGBV, Employment support, mother & baby club, peer support, recreational/cultural activities"," Unit 2 Killarney Court,  Buckingham Street,  Dublin 1, Ireland",DO1X9X8,No,www.akidwa.ie,projectcoordinator@akidwa.ie,0833560080,Information & Advice;Employment & Training;Language Support;Community & Family;Public Awareness & Activism;Culture & the Arts;Female Genital Mutilation(FGM);Health Services;,Multiple services,53.355,-6.250,N/A,
103,whiterock childrens centre,We provide English language  classes with childcare for families in the West Belfast area. ,"English language classes,help filling in forms ,support with food and vouchers.","91 Whiterock road,belfast BT119NT",044,No,wwwwhiterockcfc.org,d.walsh@whiterockchildrenscentre.org,02890438438,Information & Advice;Education;Wellbeing & Mental Health;,Multiple services,54.591,-5.979,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, To get support from our family support workers .on different issues from ,housing,dentists ,school places and help with filling in forms and food and clothing support class times and childcare places . Even though we take drop ins we encourage people to ring and make an appointment . ",
104,The Limerick and Clare Education and Training Board,"Our O’Connell Avenue Campus is located in the heart of Limerick City. We offer an exciting range of part-time courses both at the campus and at various community partner locations across Limerick City.  Day-time classes are offered Monday to Friday and evening classes run on a part-time basis on Mondays, Tuesdays and Wednesdays. Our courses range from uncertified up to QQI Level 6 Major Awards and are aimed at those wishing to return to education, up-skill, or develop new skills.  The campus also offers Youthreach programmes, which provide young people with a flexible and dynamic system of integrated general education, vocational training, and work experience. Information and guidance are available at our Information Hub to support you to make informed choices on education, training, career, and employment.","English language classes, full time and part time QQI courses","O'Connell Avenue, Limerick",V94W651,No,www.collegeoffet.ie,applyOCAC@lcetb.ie,061 445700,Education;Language Support;,Education,52.657,-8.634,"Available: Tuesday;Wednesday;Thursday;Friday;Monday;, 9.30 - 12.00",
105,IRD Duhallow Clg,"IRD Duhallow is a local development company that offers a suite of supports including social inclusion supports, employment supports, volunteering opportunities and training/workshops.","employment supports
volunteering
wellbeing supports
integration",IRD Duhallow The James O'Keeffe Institute Newmarket Cork ,P51 C5YF,No,www.irdduhallow.com,duhallow@irdduhallow.com,029-60633,Information & Advice;Employment & Training;Education;Language Support;Housing support;Wellbeing & Mental Health;Community & Family;Culture & the Arts;,Multiple services,52.211,-8.994,"Available: Monday;, 9-11AM every second week in Kanturk Town. ",
106,An Cosán,"An Cosán is a registered charity and is keenly focused on upholding our commitment to ending poverty through the transformative power of education. An Cosán was established with the belief that education could be instrumental in bringing about a transformation in society, including tackling poverty. ","Adult Community Education - ESOL, Access Education, Further Education, Higher Education; Early Years Education & Care, Afterschool Care, Counselling, Family Support Service","An Cosán, Kiltalown Village Centre, Jobstown, Tallaght, ",D24 R3PN,No,www.ancosan.ie,info@ancosan.ie,014628488,Education;Employment & Training;Information & Advice;Community & Family;Public Awareness & Activism;Language Support;Wellbeing & Mental Health;,"Adult Community Education, Early Years Education, Counselling & Family Support ",53.280,-6.402,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 9am to 5pm",
107,Kilkenny LEADER Partnership (KLP),"KLP is a non-profit, independent, community-led, local development organisation delivering to communities in Kilkenny, including providing a wide range of services for Migrants in County Kilkenny e.g. PPS & medical card applications, employment & training opportunities, linking with volunteers and community resources, signposting to local language classes, financial advice and providing a reference point for community groups.","Finding work, English classes, help with forms, volunteering, training courses, information","8 Patricks Court, Patrick Street, Kilkenny, R95 X677",R95 X677,No,https://cklp.ie/migrant-support/,info@cklp.ie, (353) 056 7752111,Information & Advice;Employment & Training;Education;Language Support;Housing support;Wellbeing & Mental Health;Community & Family;Youth Services;,Multiple services,52.650,-7.252,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 09:00 - 17:00 (but appointments preferred)",
108,Galway Rape Crisis Centre,"The Galway Rape Crisis Centre (GRCC) provides free, confidential support to individuals aged 14 and up who have been affected by sexual violence and abuse. We offer a range of services including counselling, education and training, advocacy, and accompaniment. Our freephone helpline (1800 355 355) offers emotional support, information, and guidance.","Counselling, rape, support, sexual assault, help, therapy, crisis support, help after rape, abuse, SATU accompaniment, sexual violence support, support for teenagers, therapy for survivors, free counselling, support for friends and family, advocacy services, court accompaniment, sexual abuse support, Galway support services, helpline for sexual violence, education on consent, support for survivors",7 Claddagh Quay Galway,H91 WPF6,No,https://galwayrcc.ie/,helpline@grcc.ie,091 564800        1800 355 355,Information & Advice;Education;Wellbeing & Mental Health;,Multiple services,53.270,-9.056,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;, 9.30-5.30",
109,ADAPT Domestic Abuse Services,"Our organisation has a Migrant Support Programme that will provide information, support and emergency refuge accommodation (if risk is high) for women and children experiencing domestic abuse.  Other services include court information and accompaniment, Child and Youth Service, 24 hour helpline.","Domestic violence support, domestic abuse support, court accompaniment","Rosbrien, Limerick.",V94 AX95,No,www.adaptservices.ie,info@adaptservices.ie,061-412354,"Information & Advice;Wellbeing & Mental Health;Legal Advice;Emergency & Homelessness Support (e.g. food, shelter, day services);Domestic Abuse Support;",Domestic Abuse Services,52.653,-8.632,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 9.00am-5.30pm",
110,Meath Partnership Ltd,"Meath Partnership is a dynamic partnership company established in 2006 to deliver a range of rural, social and economic programmes at local level across County Meath.  Through these programmes, we provide support and assistance to private individuals and community groups active at local level through capital grant aid, technical assistance, guidance and mentoring, information and support, training opportunities and development initiatives.  We are constantly updating and improving the range of services and supports we provide to meet the needs of our customers and clients.","Through these programmes: SICAP (Social Inclusion Community Activation Program), Meath Volunteer Centre, TUS, Leader, Rural Social Scheme, EU Projects, Education & Training we provide support and assistance to private individuals and community groups active at local level through capital grant aid, technical assistance, guidance and mentoring, information and support, training opportunities and development initiatives.","Units J & K, Kells Business Park Cavan Road Kells Co. Meath A82 N6P8",A82 N6P8,No,https://meathpartnership.ie,info@meathparntership.ie,00353 46 9280790 ,Information & Advice;Employment & Training;Education;Wellbeing & Mental Health;Community & Family;Public Awareness & Activism;Environment;,Multiple services,53.740,-6.901,N/A,
111,Outhouse LGBTQ+ Centre,"Outhouse is a space for LGBTQ+ people to connect with one another and with themselves. We are a space for support, to feel safe, and to be understood. We advocate for the voices of our community, working to promote equity and justice for all LGBTQ+ people. We offer 1:1 Community Casework appointments for those in need of support.","Finding Community, Social Groups, Peer Support Groups, 1:1 Casework, Information and Advocacy, Sign-posting, LGBTQ+ Events, Communit Cafe, LGBTQ+ Library, Theatre, Alcoholics Anonymous, Narcotics Anonymous, Rooms for hire. ","105 Capel Street, Dublin 1, D01 R290",D01 R290,No,https://outhouse.ie/,hello@outhouse.ie,+353 1 8734999,Information & Advice;Wellbeing & Mental Health;Community & Family;Public Awareness & Activism;Culture & the Arts;,Multiple services,53.351,-6.269,"Available: Tuesday;Wednesday;Thursday;Friday;Saturday;, 11am - 9pm Tues - Fri, and 11am - 6pm Saturdays. ",
112,Ukrainian Crisis Centre Ireland - UCCI ,"Ukrainian Crisis Centre Ireland (UCCI) supports Ukrainians displaced by war through free weekly activities, mental health services, integration programmes, and educational support. We offer a safe, inclusive space for families, youth, and individuals to connect, heal, and grow. Based in Dublin, we collaborate with local and national partners across Ireland.","English classes, cultural events, support for Ukrainians, mental health support, activities for children.","The GEC, Taylor's Lane, Dublin 8",D08DDE9 ,No,UCCI.ie,info@ucci.ie,0894425522,Information & Advice;Employment & Training;Education;Language Support;Wellbeing & Mental Health;Community & Family;Culture & the Arts;,Multiple services,53.342,-6.285,N/A,
113,Horn of Africa People's Aid Northern Ireland(HAPANI),"1.	To amplify the voices of refugee and migrant communities from the Horn of Africa and beyond, influence policy, and challenge the systemic injustices that prevent full participation and equality.  Objectives: 1.1	Provide accessible, culturally competent advice through a dedicated drop-in centre. 1.2	Deliver welfare, benefits and housing advice and make appropriate referrals to statutory and voluntary services for support, including on education, disability and domestic violence.  1.3	Support access to health services and culturally appropriate referrals to enable support for mental health, trauma recovery and wellbeing. 1.4	Support financial health and digital inclusion (access to computers, Wi-Fi, SIM cards etc). 1.5	Provide short-term crisis support for people with no recourse to public funds. 1.6	Respond to and influence government strategies and policies affecting refugees and asylum seekers. 1.7	Host public consultations on behalf of public bodies to engage refugee communities. ","Drop In Services for Refugees&Asylum Seekers, Homework Club,","1-5 Botanic Avenue, Belfast,",BT7 1JG,No,www.hapani.org,info@hapani.org,02890315778,"Health Services;Information & Advice;Employment & Training;Education;Language Support;Housing support;Wellbeing & Mental Health;Community & Family;Youth Services;Legal Advice;Public Awareness & Activism;Culture & the Arts;Emergency & Homelessness Support (e.g. food, shelter, day services);",Multiple services,54.589,-5.934,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 10 am to 16:00 Pm.",
114,Counselling All Nations Services (CANS),Counselling All Nations Services (CANS) provides culturally sensitive professional counselling (in English or a common minority ethnic language) to adult people living and working in Northern Ireland who are experiencing excessive stress and/or mental ill health and whose first language is not English.,"CANS, Minority Ethnic, BAME, Migrant Student, Migrant Workers, Culturally Sensitive Counselling ","Counselling All Nations Services (CANS). 1st Floor, Olive Tree House. 23/29 Fountain Street. BELFAST. BT1 5EP",BT1 5EP,No,https://counsellingallnations.org,cansinfo@counsellingallnations.org,+44 (0) 759 613 9247,Wellbeing & Mental Health;,Wellbeing & Mental Health,54.584,-5.923,N/A,
115,Waterford New Communities Network,Representative and advocacy body and umbrella organisation of migrant individuals and groups in county Waterford. ,None,"16-18 O`Connell Street, WCQ Place, Community and Cultural Hub, Waterford City",X91KVN9,No,www.waterfordncn.ie ,contact@waterfordncn.ie,N/A,Information & Advice;Community & Family;Culture & the Arts;Public Awareness & Activism;Legal Advice;Wellbeing & Mental Health;Language Support;Education;Employment & Training;,Multiple services,52.262,-7.115,"Available: Tuesday;, 6pm to8pm",
116,Family Comfort NI ,"We provide Family support, Youth club and social engagement ","Family support, Youth club, English classes , transfer test support, drop in","237a, Falls Road BT12 6FB", BT12 6FB,No,www.familycomfortni.org,Familycomfortni@gmail.com,07586638164,Community & Family;Youth Services;Wellbeing & Mental Health;,Multiple services,54.592,-5.962,"Available: Friday;, 10-12.30pm",
117,Greater Shantallow Community Arts/ Studio2 Derry,Greater Shantallow Community Arts are a Community Arts charity based at Studio 2 Youth & Community Arts Centre Derry and we provide direct access to the Arts in the heart of deprived communities supporting the creative and cultural expression of all our service users within our Creative Shared Space that nurtures and supports Cultural Diversity and Good Relations through engagement in the Arts at all levels using all Art forms.,Arts Culture Youth Engagement ,"Studio 2 Youth & Community Arts Centre, Units 2-3 Foyle Business Park, 4 Beraghmore Road, Skeoge Industrial Estate, Derry City, ",BT48 8SE,No,www.studio2derry.com,Info@gscaderry.com,02871358750,Education;Wellbeing & Mental Health;Community & Family;Youth Services;Culture & the Arts;,Culture & the Arts,55.038,-7.325,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;, 9am-9pm Monday -Friday 
9am- 2pm Saturday ",
118,Beyond Skin,"Supporting vunerable people, integration and community relations through the arts",None,None,BT17 9AX ,No,www.beyondskin.net,Info.beyondskin@gmail.com,+447792503913,Education;Language Support;Wellbeing & Mental Health;Community & Family;Youth Services;Culture & the Arts;,Culture & the Arts,54.546,-6.007,N/A,
120,Vibe ,"Vibe community hub - love, support and care for anyone in our community ","Prayer, counselling, money management, food bank, cv writing, English classes","1 Barrack St, Armagh",Bt61 1ah,No,Vibeni.com,Hello@vibeni.com,07515571385,"Information & Advice;Wellbeing & Mental Health;Community & Family;Youth Services;Emergency & Homelessness Support (e.g. food, shelter, day services);",Multiple services,54.347,-6.650,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 9 to 5pm",
121,Mud Island Community Garden,Mud Island is community garden in Dublin's North Inner City entirely run by volunteers and is always open to new members,Community gardening; volunteering; ,"Newcomen Court, off North Strand Road, Dublin ",D03 CX37,No,mudisland.ie,mudislandcommunitygarden@gmail.com,N/A,Environment;Community & Family;Wellbeing & Mental Health;,Environment,53.358,-6.244,N/A,
122,Border Crossings Theatre Company,"Border Crossings works closely with refugees and migrants in the creation of theatre productions and films, including advocacy. ","theatre, storytelling, advocacy","The Factory Performance Space,  Lower Quay Street, Sligo ",F91 FX45,No,bordercrossings.ie,info@bordercrossings.ie,+353 (0)871 094026,Culture & the Arts;,Culture & the Arts,54.274,-8.478,N/A,
123,Academy of Success and Happiness ,"Academy of Success and Happiness We support Russian-speaking migrants and refugees from various countries living in Ireland through mental health and community-building activities. Our work includes: – Consultations, retreats, and cultural festivals – Outdoor seminars and Slavic celebrations – Programs such as Laughter Yoga, Neurographica Art Therapy, creative art workshops, and the “Good Mood” international dance & integration program We aim to improve emotional well-being, reduce stress, and help people connect and thrive in a new environment.","Mental health support, emotional wellbeing, community events, Russian-speaking, art therapy, Laughter Yoga, creative workshops, dance for integration, Well-being festivals, retreats, stress relief, support for migrants, support for refugees, women's groups, cultural programs, group activities, trauma healing, social connection
","we hold events at the organizers' premises, where we are invited or rented",A92HH01 ,No,https://www.facebook.com/share/1CHBom3zas/,academy.ash.123@gmail.com,+353834041367,Education;Wellbeing & Mental Health;Community & Family;Culture & the Arts;,Wellbeing & Mental Health,53.717,-6.368,N/A,
124,Cara House Family Resource Centre,"A socially inclusive family resource centre in Letterkenny. We offer support to individuals, helping individuals develop new skills and improve their quality of life, as well as that of their community.","English speaking classes, parent and toddler group, help with forms, printing documents, workshops, Women's Shed, Men's groups, Carers Support, Active Age Service and a befriending service.","Address Pearse Road, Letterkenny, Co. Donegal, F92 YA2",F92 YA2,No,www.carahouse.ie,Communitydev@carahouse.ie,087 148 1422,Information & Advice;Language Support;Community & Family;,Community & Family,54.951,-7.739,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 10:00 am to 2pm",
126,Feed Dublin ,"We are a FoodBank and we provide food hampers, we are open only by appointment because of the large number of people we are helping, if anyone needs help don't hesitate to contact us!",Food Support,Betania Church Powerstown Road Tyrellstown Dublin 15,D15VOYK ,No,www.feed-dublin.com,Betania Church Powerstown Road Tyrellstown Dublin 15,0872571444,"Emergency & Homelessness Support (e.g. food, shelter, day services);","Emergency & Homelessness Support (e.g. food, shelter, day services)",53.415,-6.394,N/A,
127,Cavan County Local Development,"Local Development Company providing supports to New Communities, Migrant Workers, Refugees and International Protection Applicants in areas such as community participation, employment supports, lifelong learning and education, health and well being and advocacy.","Finding work, Integration, Health and wellbeing, Advice, Support, form filling, education, training, English classes","Unit 6A Corlurgan Business Park, Ballinagh Road, Cavan ",H12DP86,No,www.ccld.ie,info@ccld.ie,0494331029,Health Services;Information & Advice;Employment & Training;Education;Language Support;Housing support;Wellbeing & Mental Health;Community & Family;Youth Services;Legal Advice;Public Awareness & Activism;Culture & the Arts;Environment;,Multiple services,53.964,-7.358,"Available: Monday;Tuesday;Wednesday;Friday;Thursday;Saturday;Sunday;, 9:30am to 5pm",
128,We Make Good,"We Make Good supports refugees by providing a three-year training and employment program in sewing and textile manufacturing. This initiative empowers participants with practical skills, fair wages, and work experience, helping them integrate into Irish society, gain independence, and build sustainable careers in ethical design and social enterprise.","Sewing jobs, Textile training, Learn sewing, Sewing work Ireland, Refugee job sewing, Sewing course Dublin, Work with fabrics, Sewing factory training, Tailoring skills, sewing, fashion","24 Mountjoy Square, Dublin 1",D01 VP29,No,wemakegood.ie,info@wemakegood.ie,N/A,Employment & Training;,Employment & Training,53.358,-6.257,N/A,
129,Business in the Community Ireland,"EPIC is an employment and integration programme that supports adult asylum seekers, refugees and migrants finding suitable employment and integrating in Ireland through inclusive group training, personalised individual career counselling sessions and supports from businesses.","Finding work, Career Counselling, CV writing, interview preparation, integration","3rd Floor Phibsborough Tower, Phibsborough Road, Dublin 7",D07 XH2D,No,https://bitc.ie/programmes/jobseekers/epic-programme/,lbartolome@bitc.ie,+353 1 874 7232,Employment & Training;,Employment & Training,53.363,-6.273,N/A,
